Сегмент,Компания,Имя,Должность,Email,Телефон,Сайт,LinkedIn,Telegram,Страна,Город,Отрасль,Источник,URL источника,Приоритет,Комментарий
communications,5+1 Media,,,info@5plus1.ru,,https://5plus1.ru/,,,Россия,,Corporate Communications,Рейтинг Рунета communications,https://5plus1.ru/,A,"Corporate communications: нужны презентации для руководства, внутренних событий, публичных выступлений и стратегических материалов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,A1 Team,,,hello@a1-team.ru,+7 (495) 799-49-59,http://a1-team.ru/,,,Россия,Москва,PR / Communications,Член АКАР,http://a1-team.ru/,A,"Коммуникационное агентство: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,ADVES,,,info@adves.com,+7 906 059 2299; +7 906 059 22 99; +44 (0)204 577 09 55,https://adves.com/,,https://t.me/+79060592299,Россия,Москва,PR / Communications,Сайт агентства,https://adves.com/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,AG Loyalty,,,pitch@ag-loyalty.com,+7 (495) 122 22 69; +7 495 122 22 69,https://ag-loyalty.com/,,,Россия,Москва,PR / Communications,Сайт агентства,https://ag-loyalty.com/,A,"Коммуникационное агентство: нужны презентации для клиентов, публичных материалов и проектов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Ambitica,,,info@ambitica.ru,+7 495 363-14-14,https://www.ambitica.ru/,,https://t.me/INDOORagency1,Россия,Москва,PR / Communications,Член АКАР,https://www.ambitica.ru/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Arena Magic Box,,,contact@arenamb.ru,+7 495 669 23 42,https://www.arenamb.ru/,,http://t.me/marketing_news_arena_bot; https://t.me/advgroup_official,Россия,Москва,PR / Communications,Член АКАР,https://www.arenamb.ru/,A,Коммуникационное агентство полного цикла: релевантно для клиентских презентаций. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability.
communications,Ark Connect,,,erik.svensson@arkconnect.ru,+7 (495) 781-41-14,http://www.arkconnect.ru/,,,Россия,Москва,PR / Communications,Член АКАР,http://www.arkconnect.ru/,A,"Интегрированные коммуникации: нужны презентации, pitch materials и визуальная структура. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Ark Connect,,,hi@arkconnect.ru,+7 (495) 781-41-14,http://www.arkconnect.ru/,,,Россия,Москва,PR / Communications,Член АКАР,http://www.arkconnect.ru/,A,"Интегрированные коммуникации: нужны презентации, pitch materials и визуальная структура. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Avmmedia,,,avm@avmmedia.ru,+7 (495) 280-45-46,https://avmmedia.ru/,,,Россия,Москва,PR / Communications,Член АКАР,https://avmmedia.ru/kontakty/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
communications,Avmmedia,,,client@avmmedia.ru,+7 (495) 280-45-46,https://avmmedia.ru/,,,Россия,Москва,PR / Communications,Член АКАР,https://avmmedia.ru/kontakty/,A,"PR/communications: вероятна потребность в презентациях, pitch materials и визуальной упаковке смыслов. Preserved from previous verified GitHub snapshot to keep validated public email coverage resilient to source instability."
